Designator,Mid X,Mid Y,Rotation,Layer
BT1,137.91,-114.56,0.0,top
D1,121.93,-122.6,0.0,top
D10,111.61,-103.56,180.0,top
D11,111.61,-113.08,180.0,top
D12,111.61,-122.6,180.0,top
D13,101.29,-122.6,0.0,top
D14,101.29,-113.08,0.0,top
D15,101.29,-103.56,0.0,top
D16,101.29,-94.04,0.0,top
D17,101.29,-84.52,0.0,top
D18,101.36,-75.0,0.0,top
D19,91.04,-75.0,180.0,top
D2,121.93,-113.08,0.0,top
D20,90.97,-84.52,180.0,top
D21,90.97,-94.04,180.0,top
D22,90.97,-103.56,180.0,top
D23,90.97,-113.08,180.0,top
D24,90.97,-122.6,180.0,top
D25,80.65,-122.6,0.0,top
D26,80.65,-113.08,0.0,top
D27,80.65,-103.56,0.0,top
D28,80.65,-94.04,0.0,top
D29,80.65,-84.52,0.0,top
D3,121.93,-103.56,0.0,top
D30,80.72,-75.0,0.0,top
D31,70.4,-75.0,180.0,top
D32,70.33,-84.52,180.0,top
D33,70.33,-94.04,180.0,top
D34,70.33,-103.56,180.0,top
D35,70.33,-113.08,180.0,top
D36,70.33,-122.6,180.0,top
D4,121.93,-94.04,0.0,top
D5,121.93,-84.52,0.0,top
D6,122.0,-75.0,0.0,top
D7,111.68,-75.0,180.0,top
D8,111.61,-84.52,180.0,top
D9,111.61,-94.04,180.0,top
SW1,57.0,-89.0,90.0,top
SW2,59.31,-134.48,0.0,top
SW3,57.0,-115.0,90.0,top
SW4,80.0,-135.2,180.0,top
SW6,108.0,-135.2,180.0,top
U1,136.9175,-131.971,180.0,bottom
